"47.625044, -122.363138"
"47.702432, -122.302259"
"47.702340, -122.302191"
"47.619659, -122.322271"
"47.666247, -122.380443"
"47.710570, -122.325661"
"47.588814, -122.317046"
"47.692320, -122.343439"
"47.613129, -122.332063"
"47.621264, -122.359240"
"47.666413, -122.300895"
"47.606400, -122.337504"
"47.717000, -122.301500"
"47.620133, -122.347567"
"47.620281, -122.319825"
"47.732122, -122.337356"
"47.669419, -122.393316"
"47.669419, -122.393316"
"47.615100, -122.344700"
"47.735211, -122.337044"
"47.739020, -122.342656"
"47.606400, -122.337504"
"47.627651, -122.342600"
"47.673400, -122.342600"
"47.633222, -122.341048"
"47.649259, -122.346528"
"47.619820, -122.310998"
"47.627352, -122.342433"
"47.634045, -122.346747"
"47.634045, -122.346747"
"47.670811, -122.385102"
"47.722852, -122.293011"
"47.627352, -122.342433"
"47.615777, -122.332529"
"47.652675, -122.374639"
"47.611600, -122.305600"
"47.611600, -122.305600"
"47.673696, -122.387395"
"47.625311, -122.326537"
"47.606400, -122.337504"
"47.618720, -122.346438"
"47.670811, -122.385102"
"47.670811, -122.385102"
"47.613512, -122.312958"
"47.646098, -122.323870"
"47.555290, -122.283628"
"47.633900, -122.347600"
"47.624513, -122.318913"
"47.684900, -122.296800"
"47.695278, -122.317636"
"47.520374, -122.335746"
"47.662344, -122.319876"
"47.618720, -122.346438"
"47.625231, -122.320976"
"47.630200, -122.321000"
"47.630200, -122.321000"
"47.625231, -122.320976"
"47.691566, -122.356904"
"47.652121, -122.389971"
"47.625231, -122.320976"
"47.649026, -122.336605"
"47.775654, -122.346185"
"47.534400, -122.354700"
"47.614148, -122.344227"
"47.614180, -122.344323"
"47.732020, -122.315194"
"47.614557, -122.316706"
"47.614557, -122.316706"
"47.633499, -122.344694"
"47.627144, -122.357857"
"47.613120, -122.319787"
"47.621264, -122.359240"
"47.678620, -122.319282"
"47.617764, -122.337635"
"47.734821, -122.292938"
"47.621120, -122.332937"
"47.730077, -122.292537"
"47.623220, -122.323937"
"47.611600, -122.305600"
"47.636220, -122.356838"
"47.668620, -122.376639"
"47.668620, -122.376639"
"47.668620, -122.376639"
"47.652121, -122.389971"
"47.725685, -122.355638"
"47.725771, -122.355595"
"47.614162, -122.344315"
"47.627352, -122.342433"
"47.670120, -122.382485"
"47.669954, -122.383468"
"47.670120, -122.382485"
"47.615491, -122.349767"
"47.719220, -122.295037"
"47.564419, -122.373102"
"47.617885, -122.322137"
"47.683120, -122.326838"
"47.630200, -122.321000"
"47.604731, -122.318001"
"47.639215, -122.387775"
"47.603600, -122.325600"
"47.616220, -122.308636"
"47.625602, -122.352828"
"47.616220, -122.308636"
"47.611600, -122.305600"
"47.636231, -122.356838"
"47.532512, -122.360270"
"47.663300, -122.302200"
"47.612528, -122.348424"
"47.612528, -122.348424"
"47.612528, -122.348424"
"47.612528, -122.348424"
"47.614188, -122.344338"
"47.668589, -122.387500"
"47.670811, -122.385102"
"47.670811, -122.385102"
"47.520360, -122.335703"
"47.647702, -122.378739"
"47.647565, -122.378739"
"47.647702, -122.378739"
"47.612470, -122.328150"
"47.633586, -122.342269"
"47.633701, -122.342248"
"47.666020, -122.379839"
"47.666020, -122.379839"
"47.603600, -122.325600"
"47.673400, -122.342600"
"47.722831, -122.293028"
"47.719220, -122.295037"
"47.615100, -122.344700"
"47.620133, -122.347567"
"47.616680, -122.348685"
"47.663942, -122.316134"
"47.703076, -122.323709"
"47.610100, -122.324039"
"47.609920, -122.323737"
"47.617171, -122.352526"
"47.656962, -122.342548"
"47.616220, -122.308636"
"47.627651, -122.342600"
"47.666621, -122.300882"
"47.623320, -122.314400"
"47.611600, -122.305600"
"47.611357, -122.326519"
"47.649259, -122.346528"
"47.649820, -122.344638"
"47.611921, -122.347612"
"47.611935, -122.347677"
"47.623316, -122.322996"
"47.611620, -122.311236"
"47.645745, -122.324159"
"47.640686, -122.278436"
"47.604820, -122.326837"
"47.640848, -122.343659"
